Date,Price,Open,High,Low,Vol.,Change %
05/12/2020,807.38,798.22,807.38,798.22,42.01K,1.17%
05/11/2020,798.02,799.65,803.72,798.02,13.38K,-0.38%
05/08/2020,801.1,798.36,806.5,796.79,13.81K,0.45%
05/07/2020,797.54,800,800,794.52,14.76K,-0.04%
05/06/2020,797.83,797.12,798.95,796.16,13.36K,0.14%
05/05/2020,796.68,794.63,798.59,792.42,13.46K,0.45%
05/04/2020,793.12,802.42,803.29,791.1,22.07K,-1.09%
04/30/2020,801.85,791.22,811.55,791.22,49.31K,1.34%
04/29/2020,791.22,784.06,791.8,783.65,25.56K,0.60%
04/28/2020,786.5,776.94,786.65,774.63,34.20K,1.68%
04/24/2020,773.49,777.41,781.01,772.34,12.89K,-0.50%
04/23/2020,777.37,778.74,784.09,776.05,40.86K,0.03%
04/22/2020,777.17,777.51,782.74,774.39,21.23K,-0.17%
04/21/2020,778.46,793.71,793.71,778.46,34.42K,-1.92%
04/20/2020,793.71,805.17,815.17,792.94,35.65K,-1.34%
04/17/2020,804.46,794.86,808.68,794.86,44.41K,1.41%
04/16/2020,793.31,794.25,795.06,787.18,27.83K,0.14%
04/15/2020,792.2,810.78,816.67,792.2,41.80K,-2.12%
04/14/2020,809.33,802.21,812.11,802.21,14.61K,0.99%
04/09/2020,801.37,783.5,804.28,783.5,67.46K,2.41%
04/08/2020,782.48,782.94,792.57,773.64,45.24K,0.21%
04/07/2020,780.83,740.26,783.13,740.26,75.26K,6.14%
04/06/2020,735.66,718.35,737.82,718.35,28.10K,2.66%
04/03/2020,716.62,714.55,716.62,709.59,35.51K,0.29%
04/02/2020,714.55,727.22,728.17,713.13,24.66K,-1.71%
04/01/2020,727,732.79,736.33,726.38,35.33K,-0.86%
03/31/2020,733.34,723.11,747.77,723.11,43.40K,1.41%
03/30/2020,723.11,726.72,730.73,715.7,24.30K,-0.51%
03/27/2020,726.82,726.98,740.76,726.04,49.33K,-0.02%
03/26/2020,726.98,726.79,733.59,720.68,61.69K,-0.07%
03/25/2020,727.51,714.94,749.94,714.94,81.13K,3.01%
03/24/2020,706.27,686.94,723.46,686.94,55.09K,3.03%
03/23/2020,685.52,713.88,713.88,666.42,112.72K,-4.03%
03/20/2020,714.27,703.6,719.53,703.12,113.26K,1.73%
03/19/2020,702.12,724.65,724.65,701.52,57.72K,-3.13%
03/18/2020,724.81,740.95,744.45,724.42,49.21K,-1.81%
03/17/2020,738.16,726.05,748.17,726.05,45.17K,1.76%
03/16/2020,725.41,761.38,761.38,719.46,91.32K,-4.82%
03/13/2020,762.12,750.24,765.92,712.97,191.73K,1.12%
03/12/2020,753.7,823.39,823.39,751.82,113.23K,-8.96%
03/11/2020,827.84,845.42,859.6,825.57,50.69K,-1.91%
03/10/2020,843.94,816.64,851.91,811.41,85.73K,3.16%
03/09/2020,818.1,880.74,880.74,811.63,120.42K,-7.27%
03/06/2020,882.23,902.61,902.61,874.01,57.59K,-2.45%
03/05/2020,904.42,910.73,915.08,904.42,40.51K,-0.77%
03/04/2020,911.47,902.64,912.72,900.65,31.27K,0.94%
03/03/2020,903.01,893.08,910.7,893.08,58.54K,1.02%
03/02/2020,893.9,907.56,910.09,892.42,53.46K,-1.34%
02/28/2020,906.08,929.24,929.24,896.88,47.19K,-2.51%
02/27/2020,929.42,928.89,936.33,924.56,40.41K,0.19%
02/26/2020,927.67,917.98,927.97,902.86,46.92K,0.72%
02/25/2020,921.04,943.52,949.2,919.99,48.99K,-2.21%
02/24/2020,941.81,979.48,979.48,936.74,89.20K,-3.85%
02/21/2020,979.57,981.44,986.14,977.9,23.91K,-0.22%
02/20/2020,981.75,983.96,985.05,981.15,25.54K,-0.21%
02/19/2020,983.78,980.11,983.8,979.15,18.10K,0.07%
02/18/2020,983.07,978.15,983.44,978.1,37.00K,0.45%
02/17/2020,978.7,979.45,985,978.7,33.75K,-0.12%
02/14/2020,979.87,977.45,982.72,977.25,10.08K,0.23%
02/13/2020,977.64,981.55,983.8,977.64,15.23K,-0.57%
02/12/2020,983.22,979.25,983.22,979.25,18.58K,0.48%
02/11/2020,978.51,975.37,979.39,975.02,15.65K,0.22%
02/10/2020,976.32,977.46,980.2,974.63,14.88K,-0.19%
02/07/2020,978.16,980.18,980.18,969.85,17.49K,-0.18%
02/06/2020,979.94,970.44,979.94,970.44,34.57K,0.93%
02/05/2020,970.87,965.25,971.41,962.03,6.73K,0.54%
02/04/2020,965.65,963.55,966.1,960.64,22.94K,0.60%
02/03/2020,959.85,971.49,974.45,956.99,19.81K,-1.20%
01/31/2020,971.49,974.22,976.61,970.53,25.73K,-0.39%
01/30/2020,975.26,964.21,976.92,961.85,24.88K,1.20%
01/29/2020,963.68,961.14,963.88,957.02,22.42K,0.26%
01/28/2020,961.14,962.94,962.94,956.68,20.94K,-0.25%
01/27/2020,963.58,969.69,969.69,957.74,23.81K,-0.69%
01/24/2020,970.3,969.89,973.29,966.48,20.72K,0.17%
01/23/2020,968.69,967.78,973.27,962.11,18.86K,0.09%
01/22/2020,967.78,958.14,969.88,953.52,18.43K,1.01%
01/21/2020,958.14,958.4,958.43,951.24,50.16K,0.17%
01/20/2020,956.55,956.34,960.95,950.73,41.24K,0.02%
01/17/2020,956.34,960.54,962,953.32,44.99K,-0.44%
01/16/2020,960.54,973.79,973.79,957.58,40.08K,-1.36%
01/15/2020,973.79,974.62,974.95,971.04,22.19K,-0.03%
01/14/2020,974.13,980.08,980.97,973.06,26.89K,-0.61%
01/13/2020,980.08,965.48,980.08,965.48,58.69K,1.53%
01/10/2020,965.3,947.77,965.3,946.82,51.03K,1.67%
01/09/2020,949.44,938.5,949.44,934.45,42.06K,1.24%
01/08/2020,937.81,937.16,939.48,933.47,50.45K,0.47%
01/07/2020,933.45,933.48,936.94,929.36,77.45K,0.06%
01/06/2020,932.92,930.97,932.92,926.46,16.07K,0.21%
01/03/2020,930.97,926.1,930.97,922.57,29.77K,0.55%
12/30/2019,925.86,924.84,928.08,921.14,53.19K,0.11%
12/27/2019,924.84,924.71,924.89,920.61,36.80K,0.03%
12/23/2019,924.58,919.62,924.99,919.32,36.36K,0.54%
12/20/2019,919.62,924.55,926.75,919.08,53.31K,-0.49%
12/19/2019,924.15,924.42,929.23,922.14,39.12K,-0.03%
12/18/2019,924.42,921.66,927.14,920,13.87K,0.19%
12/17/2019,922.65,926.3,928.97,920.31,36.84K,-0.41%
12/16/2019,926.47,925.47,928.24,919.78,67.50K,0.14%
12/13/2019,925.19,916.25,925.19,916.25,48.62K,1.00%
12/12/2019,916.05,911.16,920.51,909.68,23.18K,0.51%
12/11/2019,911.44,907.61,911.44,907.61,19.31K,0.46%
12/10/2019,907.3,910.05,910.05,905.19,20.58K,-0.28%
12/09/2019,909.85,905.61,910.3,905.61,43.70K,0.47%
12/06/2019,905.61,904.48,905.61,900.76,26.24K,0.12%
12/05/2019,904.48,899.02,904.67,898.18,35.82K,0.61%
12/04/2019,899.02,896.09,902.96,894.31,26.76K,0.23%
12/03/2019,896.93,899.49,900.35,896.52,12.08K,-0.23%
12/02/2019,898.96,897.05,901.34,897.05,58.09K,0.32%
11/29/2019,896.1,895.28,898.17,891.29,21.40K,0.11%
11/28/2019,895.1,896.33,896.94,892.63,19.55K,-0.14%
11/27/2019,896.33,897.51,899.09,889.65,23.99K,-0.13%
11/26/2019,897.51,897.1,898.64,895.21,13.85K,-0.14%
11/25/2019,898.76,899.46,901.85,895.38,33.45K,-0.39%
11/22/2019,902.31,893.89,902.48,893.57,45.30K,0.98%
11/21/2019,893.52,884.97,893.81,883.89,43.81K,1.06%
11/20/2019,884.14,885.42,886.86,880.72,14.36K,-0.26%
11/19/2019,886.48,884.14,887.6,882.96,21.23K,0.33%
11/18/2019,883.56,879.69,886.1,879.69,47.07K,0.33%
11/15/2019,880.68,877.08,880.68,871.86,17.06K,0.41%
11/14/2019,877.08,877.83,877.83,873.93,10.59K,-0.20%
11/13/2019,878.81,874.18,879.25,873.12,15.40K,0.34%
11/12/2019,875.84,871.75,876.4,870,19.33K,0.54%
11/11/2019,871.1,864.81,871.1,864.24,14.34K,0.73%
11/08/2019,864.81,866.79,866.79,861.84,15.24K,-0.25%
11/07/2019,866.98,864.25,866.98,861.61,14.33K,0.24%
11/06/2019,864.9,859.5,865.64,859.5,18.97K,0.69%
11/05/2019,858.97,858.88,864.07,857.44,23.41K,0.13%
11/04/2019,857.83,853.56,857.83,852.02,38.39K,0.50%
10/30/2019,853.56,856.69,859.82,853.56,16.78K,-0.07%
10/29/2019,854.19,865.48,865.48,854.19,19.56K,-1.30%
10/28/2019,865.48,866.46,868.9,865.34,18.28K,-0.09%
10/25/2019,866.28,873.73,874.26,864.68,11.70K,-0.85%
10/24/2019,873.73,873.15,874.21,870.65,23.20K,0.07%
10/23/2019,873.15,871.23,873.15,868.09,12.20K,0.22%
10/22/2019,871.23,873.33,873.33,869.51,22.63K,-0.24%
10/21/2019,873.33,874.47,875.62,870.5,9.82K,-0.21%
10/18/2019,875.13,870.45,875.33,869.79,13.94K,0.44%
10/17/2019,871.28,871.68,873.22,869.23,7.07K,0.05%
10/16/2019,870.87,871.46,874.67,867.85,20.57K,-0.06%
10/15/2019,871.4,872.73,873.41,868.59,19.05K,-0.09%
10/14/2019,872.15,869.71,873.09,869.71,23.15K,0.28%
10/11/2019,869.71,870.11,870.25,865.79,18.20K,-0.05%
10/10/2019,870.11,865.28,872.77,865.28,12.06K,0.60%
10/09/2019,864.92,867.4,867.4,862.6,8.31K,-0.47%
10/08/2019,868.98,863.64,868.98,862.11,18.07K,0.62%
10/07/2019,863.64,862.74,865,862.06,20.11K,0.13%
10/04/2019,862.56,857.97,864.22,857.97,26.38K,0.58%
10/03/2019,857.59,860.51,865.46,857.59,20.70K,-0.30%
10/02/2019,860.16,860.18,861,857.07,18.02K,0.00%
10/01/2019,860.18,854.8,862.43,853.75,15.45K,0.64%
09/30/2019,854.71,858.36,858.36,854.71,14.51K,-0.13%
09/27/2019,855.86,856.41,859.48,853.37,20.08K,-0.06%
09/26/2019,856.41,857.86,858.56,852.97,28.03K,-0.07%
09/25/2019,857.05,858.09,861.24,855.27,38.20K,-0.12%
09/24/2019,858.09,857.14,864.75,856.68,21.60K,0.15%
09/23/2019,856.77,857.31,859.13,853.62,20.89K,-0.02%
09/20/2019,856.96,861.9,861.9,856.64,20.88K,-0.57%
09/19/2019,861.9,856.79,861.9,856.79,10.80K,0.31%
09/18/2019,859.27,858.84,861.24,856.4,87.59K,0.02%
09/17/2019,859.13,858.87,859.16,854.14,30.35K,0.03%
09/16/2019,858.87,855.82,862.25,855.82,21.98K,0.33%
09/13/2019,856.02,851.62,856.02,849.7,10.77K,0.52%
09/12/2019,851.62,848.11,851.62,847.14,20.62K,0.23%
09/11/2019,849.69,849.98,849.98,846.2,13.11K,-0.10%
09/10/2019,850.55,848.75,851.6,846.89,16.85K,0.37%
09/09/2019,847.45,847.66,850.52,845.5,11.53K,-0.12%
09/06/2019,848.49,849.88,850.91,845.62,11.49K,-0.12%
09/05/2019,849.49,851.99,852.6,845.22,15.11K,-0.10%
09/04/2019,850.33,855.39,855.39,847.72,23.34K,-0.20%
09/03/2019,852.06,850.13,853.74,850.13,15.32K,0.20%
09/02/2019,850.37,855.43,855.43,850.37,18.18K,-0.52%
08/30/2019,854.82,851.45,854.82,849.8,12.73K,0.31%
08/29/2019,852.2,852.11,853.33,848.59,10.61K,0.02%
08/28/2019,852.01,854.15,855.46,848.16,33.13K,-0.25%
08/27/2019,854.15,857.53,859.53,854.15,20.20K,-0.43%
08/26/2019,857.88,862.38,862.68,857.88,16.14K,-0.42%
08/23/2019,861.54,863.91,865.03,861.35,34.77K,-0.35%
